280	-552624.0	S
281	-552492.0	S
282	-552562.0	S
283	-552466.0	S
284	-552470.0	S
285	-552434.0	S
286	-552442.0	S
287	-552396.0	S
288	-552514.0	S
289	-552460.0	S
290	-552492.0	S
291	-552580.0	S
292	-552510.0	S
293	-552454.0	S
294	-552478.0	S
295	-552450.0	S
296	-552332.0	S
297	-552396.0	S
298	-552618.0	S
299	-552554.0	S
300	-552476.0	S
301	-552546.0	S
302	-552582.0	S
303	-552606.0	S
304	-552596.0	S
305	-552462.0	S
306	-552464.0	S
307	-552610.0	S
308	-552454.0	S
309	-552412.0	S
310	-552508.0	S
311	-552410.0	S
312	-552472.0	S
313	-552374.0	S
314	-552340.0	S
315	-552524.0	S
316	-552410.0	S
317	-552408.0	S
318	-552510.0	S
319	-552404.0	S
320	-552322.0	S
321	-552320.0	S
322	-552390.0	S
323	-552386.0	S
324	-552324.0	S
325	-552460.0	S
326	-552502.0	S
327	-552454.0	S
328	-552382.0	S
329	-552446.0	S
330	-552352.0	S
331	-552430.0	S
332	-552382.0	S
333	-552356.0	S
334	-552270.0	S
335	-552358.0	S
336	-552384.0	S
337	-552428.0	S
338	-552468.0	S
339	-552384.0	S
340	-552438.0	S
341	-552552.0	S
342	-552578.0	S
343	-552432.0	S
344	-552386.0	S
345	-552260.0	S
346	-552362.0	S
347	-552444.0	S
348	-552442.0	S
349	-552466.0	S
350	-552434.0	S
351	-552386.0	S
352	-552502.0	S
353	-552448.0	S
354	-552448.0	S
355	-552456.0	S
356	-552496.0	S
357	-552454.0	S
358	-552522.0	S
359	-552290.0	S
360	-552420.0	S
361	-552460.0	S
362	-552528.0	S
363	-552384.0	S
364	-552584.0	S
365	-552524.0	S
366	-552448.0	S
367	-552450.0	S
368	-552468.0	S
369	-552426.0	S
370	-552400.0	S
371	-552488.0	S
372	-552400.0	S
373	-552344.0	S
374	-552430.0	S
375	-552492.0	S
376	-552418.0	S
377	-552378.0	S
378	-552384.0	S
379	-552428.0	S
380	-552482.0	S
381	-552508.0	S
382	-552498.0	S
383	-552442.0	S
384	-552464.0	S
385	-552558.0	S
386	-552342.0	S
387	-552502.0	S
388	-552472.0	S
389	-552352.0	S
390	-552456.0	S
391	-552460.0	S
392	-552394.0	S
393	-552436.0	S
394	-552438.0	S
395	-552494.0	S
396	-552510.0	S
397	-552504.0	S
398	-552430.0	S
399	-552470.0	S
400	-552404.0	S
401	-552454.0	S
402	-552366.0	S
403	-552516.0	S
404	-552544.0	S
405	-552442.0	S
406	-552532.0	S
407	-552350.0	S
408	-552364.0	S
409	-552390.0	S
410	-552444.0	S
411	-552410.0	S
412	-552476.0	S
413	-552482.0	S
414	-552406.0	S
415	-552386.0	S
416	-552428.0	S
417	-552292.0	S
418	-552410.0	S
419	-552434.0	S
420	-552476.0	S
421	-552398.0	S
422	-552356.0	S
423	-552456.0	S
424	-552376.0	S
425	-552488.0	S
426	-552574.0	S
427	-552532.0	S
428	-552458.0	S
429	-552512.0	S
430	-552424.0	S
431	-552446.0	S
432	-552474.0	S
433	-552458.0	S
434	-552416.0	S
435	-552414.0	S
436	-552482.0	S
437	-552522.0	S
438	-552546.0	S
439	-552486.0	S
440	-552448.0	S
441	-552378.0	S
442	-552534.0	S
443	-552420.0	S
444	-552434.0	S
445	-552568.0	S
446	-552492.0	S
447	-552484.0	S
448	-552448.0	S
449	-552610.0	S
450	-552644.0	S
451	-552422.0	S
452	-552496.0	S
453	-552572.0	S
454	-552504.0	S
455	-552460.0	S
456	-552466.0	S
